,Title,Year,Award,Nomination,Productioncompanies ,Picture format,Original release,Country,Based on,Traditional,Producer,Country of origin,Revised Romanization,Languages,Starring,No. of series,Theme music composer,Adapted by,Hangul,Music by,Original network,Original language,Created by,Featured music,French,Narrated by,Italian,Simplified,Hepburn,Adaptation by,Danish,Cinematography,Distributed by,Countries,Narration by,No. of episodes,Portuguese,Original air date,Layouts by,Language,Written by,Editor,Suggested by,Japanese,Literally,Productioncompany ,Mandarin,Budget,Backgrounds by,Episode no.,Color process,McCune–Reischauer,Distributor,Story by,Production company,Spanish,Edited by,Release date,Screenplay by,Animation by,Directed by,Box office,Running time,Produced by
0,Nomadland,2020/21,3,6 , Highwayman Films Hear/Say Productions Cor Cordium Productions ,,,United States,Nomadland: Surviving America in the Twenty-First Centuryby Jessica Bruder,,,,,, Frances McDormand David Strathairn Linda May Swankie ,,,,,Ludovico Einaudi,,,,,,,,,,,,Joshua James Richards,Searchlight Pictures[1],,,,,,,English,,,,,,,,$5 million[3][4],,,,,,,,,Chloé Zhao," September 11, 2020 (2020-09-11) (Venice) February 19, 2021 (2021-02-19) (United States) ",Chloé Zhao,,Chloé Zhao,$20.7 million[5][6],108 minutes[2], Frances McDormand Peter Spears Mollye Asher Dan Janvey Chloé Zhao 
1,The Father,2020/21,2,6 , F comme Film Trademark Films Cine@ AG Studios Film4[1] Orange Studio[1] Canal+[1] Ciné+[1] ,,,,Le Pèreby Florian Zeller,,,,,, Anthony Hopkins Olivia Colman Mark Gatiss Imogen Poots Rufus Sewell Olivia Williams ,,,,,Ludovico Einaudi,,,,,,,,,,,,Ben Smithard, Lionsgate(United Kingdom) UGC Distribution(France) , France United Kingdom ,,,,,,English,,,,,,,,$6 million[3],,,,,,,,,Yorgos Lamprinos, 27 January 2020 (2020-01-27) (Sundance) 26 May 2021 (2021-05-26) (France) 11 June 2021 (2021-06-11) (United Kingdom) ,Florian ZellerChristopher Hampton,,Florian Zeller,$14.1 million[1][4],97 minutes[2],David ParfittJean-Louis LiviPhilippe CarcassonneChristophe SpadoneSimon Friend
2,Judas and the Black Messiah,2020/21,2,6 , MACRO Participant Bron Creative Proximity ,,,United States,,,,,,, Daniel Kaluuya Lakeith Stanfield Jesse Plemons Dominique Fishback Ashton Sanders Darrell Britt-Gibson Lil Rel Howery Algee Smith Dominique Thorne Martin Sheen ,,,,, Mark Isham Craig Harris ,,,,,,,,,,,,Sean Bobbitt,Warner Bros. Pictures,,,,,,,English,,,,,,,,$26 million[1],,,,,, Will Berson Shaka King Kenny Lucas Keith Lucas ,,,Kristan Sprague," February 1, 2021 (2021-02-01) (Sundance) February 12, 2021 (2021-02-12) (United States) ", Will Berson Shaka King ,,Shaka King,$6.5 million[2][3],126 minutes, Charles D. King Ryan Coogler Shaka King 
3,Minari,2020/21,1,6 ,,,,United States,,,,,, Korean English , Steven Yeun Han Ye-ri Alan Kim Noel Kate Cho Youn Yuh-jung Will Patton ,,,,,Emile Mosseri,,,,,,,,,,,,Lachlan Milne,A24,,,,,,,,Lee Isaac Chung,,,,,Plan B Entertainment,,$2 million[2][3],,,,,,,,,Harry Yoon," January 26, 2020 (2020-01-26) (Sundance) February 12, 2021 (2021-02-12) (United States) ",,,Lee Isaac Chung,$15 million[4][5],115 minutes[1], Dede Gardner Jeremy Kleiner Christina Oh 
4,Mank,2020/21,2,10 , Netflix International Pictures Flying Studio[1] Panic Pictures[1] Blue Light[1] ,,,United States,,,,,,, Gary Oldman Amanda Seyfried Lily Collins Arliss Howard Tom Pelphrey Charles Dance ,,,,, Trent Reznor Atticus Ross ,,,,,,,,,,,,Erik Messerschmidt,Netflix,,,,,,,English,,,,,,,,$25 million[3],,,,,,,,,Kirk Baxter," November 13, 2020 (2020-11-13) (United States) ",Jack Fincher,,David Fincher,"$122,252[4]",131 minutes[2], Ceán Chaffin Eric Roth Douglas Urbanski 
5,Sound of Metal,2020/21,2,6 , Caviar Ward Four Flat 7 Productions[1] ,,,United States,,,,,, American Sign Language English , Riz Ahmed Olivia Cooke Paul Raci Lauren Ridloff Mathieu Amalric ,,,,, Abraham Marder Nicolas Becker ,,,,,,,,,,,,Daniël Bouquet,Amazon Studios,,,,,,,,,,,,,,,$5.4 million[2],,,,,, Darius Marder Derek Cianfrance ,,,Mikkel E. G. Nielsen," September 6, 2019 (2019-09-06) (TIFF) November 20, 2020 (2020-11-20) (United States) ", Darius Marder Abraham Marder ,,Darius Marder,"$176,177[3]",120 minutes, Bill Benz Kathy Benz Bert Hamelinck Sacha Ben Harroche 
6,Ma Rainey's Black Bottom,2020/21,2,5 , Escape Artists Mundy Lane Entertainment ,,,United States,Ma Rainey's Black Bottomby August Wilson,,,,,, Viola Davis Chadwick Boseman Glynn Turman Colman Domingo Michael Potts ,,,,,Branford Marsalis,,,,,,,,,,,,Tobias A. Schliessler,Netflix,,,,,,,English,,,,,,,,$20–22.5 million[2][3],,,,,,,,,Andrew Mondshein," November 25, 2020 (2020-11-25) (United States) ",Ruben Santiago-Hudson,,George C. Wolfe,,94 minutes[1], Denzel Washington Todd Black Dany Wolf 
7,Promising Young Woman,2020/21,1,5 , FilmNation Entertainment LuckyChap Entertainment ,,,,,,,,,, Carey Mulligan Bo Burnham Alison Brie Clancy Brown Jennifer Coolidge Laverne Cox Connie Britton ,,,,,Anthony Willis,,,,,,,,,,,,Benjamin Kračun,Focus Features,United KingdomUnited States[1][2][3],,,,,,English,Emerald Fennell,,,,,,,$5–10 million[4][5],,,,,,,,,Frédéric Thoraval," January 25, 2020 (2020-01-25) (Sundance) December 25, 2020 (2020-12-25) (United States) ",,,Emerald Fennell,$16.3 million[6][7],113 minutes, Margot Robbie Josey McNamara Tom Ackerley Ben Browning Ashley Fox Emerald Fennell 
8,Tenet,2020/21,1,2 , Warner Bros. Pictures Syncopy ,,,,,,,,,, John David Washington Robert Pattinson Elizabeth Debicki Dimple Kapadia Michael Caine Kenneth Branagh ,,,,,Ludwig Göransson,,,,,,,,,,,,Hoyte van Hoytema,Warner Bros. Pictures, United Kingdom[2] United States[2] ,,,,,,English,Christopher Nolan,,,,,,,$200 million[3],,,,,,,,,Jennifer Lame," August 26, 2020 (2020-08-26) (United Kingdom) September 3, 2020 (2020-09-03) (United States) ",,,Christopher Nolan,$363.7 million[4][5],150 minutes[1], Emma Thomas Christopher Nolan 
9,Soul,2020/21,2,3 , Walt Disney Pictures Pixar Animation Studios ,,,United States,,,,,,, Jamie Foxx Tina Fey Graham Norton Rachel House Alice Braga Richard Ayoade Phylicia Rashad Donnell Rawlings Questlove Angela Bassett ,,,,, Trent Reznor Atticus Ross Jon Batiste[a] ,,,,,,,,,,,, Matt Aspbury Ian Megibben ,Walt Disney Studios Motion Pictures,,,,,,,English, Pete Docter Mike Jones Kemp Powers ,,,,,,,$150 million+[2],,,,,,,,,Kevin Nolting," October 11, 2020 (2020-10-11) (BFI Fest) December 25, 2020 (2020-12-25) (United States) ",,, Pete Docter ,$119 million[3],100 minutes[1],Dana Murray
10,Another Round,2020/21,1,2 , Zentropa Film i Väst Topkapi Films Danish Film Institute TV2 Danmark Eurimages Netherlands Film Fund Swedish Film Institute ,,,,,,,,,, Mads Mikkelsen Thomas Bo Larsen Magnus Millang Lars Ranthe ,,,,,Janus Billeskov Jansen,,,,,,,,,,,Druk,Sturla Brandth Grøvlen, Nordisk Film(Scandinavia) September Film(Netherlands) , Denmark[2] Netherlands Sweden ,,,,,,Danish, Thomas Vinterberg Tobias Lindholm ,,,,,,,kr33.5 million[3](US$5.7 million),,,,,,,,, Anne Østerud Janus Billeskov Jansen , 12 September 2020 (2020-09-12) (TIFF)[1] 24 September 2020 (2020-09-24) (Denmark) ,,,Thomas Vinterberg,$7.9 million[4][5],117 minutes, Sisse Graum Jørgensen Kasper Dissing 
11,My Octopus Teacher,2020/21,1,1 ,,,,South Africa,,,,,,, Craig Foster Tom Foster ,,,,,Kevin Smuts,,,,,,,,,,,,Roger Horrocks,Netflix,,,,,,,English, Pippa Ehrlich James Reed ,,,,,Netflix,,,,,,,,,,, Pippa Ehrlich Dan Schwalm , 4 September 2020 (2020-09-04) (Millennium Docs Against Gravity)[1] 7 September 2020 (2020-09-07) (Netflix) ,,, Pippa Ehrlich James Reed ,,85 minutes,Craig Foster
12,Colette,2020/21,1,1 ,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,The Guardian,,,,,,,French,,,,,,,,,,,,,,,,,, 16 February 2020 (2020-02-16) ,,,Anthony Giacchino,,24 minutes,Alice DoyardAaron MatthewsAnnie Small
13,If Anything Happens I Love You,2020/21,1,1 , Gilbert Films Oh Good Productions ,,,United States,,,,,,,,,,,,Lindsay Marcus,,,,,,,,,,,,,Netflix,,,,,,,English, Will McCormack Michael Govier ,,,,,,,,,,,,,,,,Peter Ettinger," November 20, 2020 (2020-11-20) ",,, Will McCormack Michael Govier ,,12 minutes, Maryann Garger Gary Gilbert Gerald Chamales Michael Govier 
14,Two Distant Strangers,2020/21,1,1 , Dirty Robber NowThis Six Feet Over ,,,United States,,,,,,, Joey Badass Andrew Howard ,,,,,James Poyser,,,,,,,,,,,,Jessica Young,Netflix,,,,,,,English,,,,,,,,,,,,,,,,,Alex Odesmith,"November 20, 2020",Travon Free,, Travon Free Martin Desmond Roe ,,32 minutes, Van Lathan Lawrence Bender Jesse Williams Chris Uettwiller Sean Combs Mickey Meyer Terrence J 
15,Parasite,2019,4,6 ,,,,South Korea[1][3],,,,,Gisaengchung,, Song Kang-ho Lee Sun-kyun Cho Yeo-jeong Choi Woo-shik Park So-dam Lee Jung-eun Jang Hye-jin ,,,,기생충,Jung Jae-il[1],,,,,,,,,,,,Hong Kyung-pyo[2],CJ Entertainment,,,,,,,Korean,,,,,,Barunson E&A[1],,₩17.0 billion[5](~US$15.5 million)[6],,,,Kisaengch'ung,,Bong Joon-ho[1],,,Yang Jin-mo, 21 May 2019 (2019-05-21) (Cannes) 30 May 2019 (2019-05-30) (South Korea) 8 November 2019 (2019-11-08) (United States) , Bong Joon-ho Han Jin-won ,,Bong Joon-ho,$258.8 million[7],132 minutes[3][4], Kwak Sin-ae Moon Yang-kwon Bong Joon-ho Jang Young-hwan 
16,Ford v Ferrari,2019,2,4 , Chernin Entertainment TSG Entertainment Turnpike Films ,,,United States,,,,,,, Matt Damon Christian Bale ,,,,, Marco Beltrami Buck Sanders ,,,,,,,,,,,,Phedon Papamichael,20th Century Fox[1],,,,,,,English, Jez Butterworth John-Henry Butterworth Jason Keller ,,,,,,,$97.6 million[1],,,,,,,,, Michael McCusker Andrew Buckland ," August 30, 2019 (2019-08-30) (Telluride) November 15, 2019 (2019-11-15) (United States) ",,,James Mangold,$225.5 million[3][1],152 minutes[2], Peter Chernin Jenno Topping James Mangold 
17,Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1 ,,,,United Kingdom,,,,,,,,,,,,Sasha Gordon,,,,,,,,,,,,Lisa Rinzler,,,,,,,,,,,,,,,,,,,,,,,,,Mary Manhardt, 28 April 2019 (2019-04-28) ,,Fleur Davisz Simon Tubbs,Carol Dysinger,,39 minutes,
18,The Neighbors' Window,2019,1,1 ,,,,United States,The Living Roomby Diane Weipert ,,,,,,Maria DizziaGreg KellerJuliana Canfield,,,,,James Baxter & The National,,,,,,,,,,,,Wolfgang Held,Marshall Curry Productions,,,,,,,English,Marshall Curry,,,,,,,,,,,,,,,,Marshall Curry," April 26, 2019 (2019-04-26) (Tribeca Film Festival) ",,,Marshall Curry,"$330,661",20 minutes, Marshall Curry Jonathan Olson Julia Kennelly Elizabeth Martin 
19,Little Women,2019,1,6 , Columbia Pictures Regency Enterprises Pascal Pictures ,,,United States,Little Womenby Louisa May Alcott,,,,,, Saoirse Ronan Emma Watson Florence Pugh Eliza Scanlen Laura Dern Timothée Chalamet Meryl Streep Tracy Letts Bob Odenkirk James Norton Louis Garrel Chris Cooper ,,,,,Alexandre Desplat,,,,,,,,,,,,Yorick Le Saux,Sony Pictures Releasing,,,,,,,English,,,,,,,,$40 million[2],,,,,,,,,Nick Houy," December 7, 2019 (2019-12-07) (MoMA) December 25, 2019 (2019-12-25) (United States) ",Greta Gerwig,,Greta Gerwig,$218.9 million[3],135 minutes[1], Amy Pascal Denise Di Novi Robin Swicord 
